voter,txn_count,Wallet_Age,Wallet_Age(Erc20),to_count,from_count,erc_to,erc_from,first_date,last_date,first_from,first_to,last_from,last_to
0x6a096fc442548dcbbfa3a0de4b01c125ba6b61ae,100,426,426,96,4,53,47,1652347693,1658295638,0x80c67432656d59144ceff962e8faf8926599bcf8,self,self,0x1111111254760f7ab3f16433eea9304126dcd199
0x8af9dde8ac866fe9b8694e9181403b984f1e4c0c,9,91,0,7,2,0,0,1681301279,1686659745,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,self,self,0x984e29dcb4286c2d9cbaa2c238afdd8a191eefbc
0x1a35446a944def7388d4bf93b3504d824b37a2b9,35,106,101,34,1,2,3,1680023935,1688803389,self,0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,self,0xb0d502e938ed5f4df2e681fe6e419ff29631d62b
0x4f64c6b8333f74890b0ba0af4d480d8ecce01e17,26,406,406,24,2,1,3,1654038847,1688907729,self,0xfedfaf1a10335448b7fa0268f56d2b44dbd357de,self,0xd85b5e176a30edd1915d6728faebd25669b60d8b
0x507d4933ec93abceb274c47b548512255c1c29e3,100,87,84,99,1,24,32,1681644312,1686014859,0x3e64a2a15c02495873a3184a3bf1fefa1dcaaf5a,self,self,0x52629961f71c1c2564c5aa22372cb1b9fa9eba3e
0xa3dd2f04f6d64ad8c4d9e10ce90364d7f7141985,100,155,155,100,0,21,26,1675752801,1689134367,self,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,self,0x52629961f71c1c2564c5aa22372cb1b9fa9eba3e
0x56fba7313eed6d3aebf437f5250c51de34cba5fd,14,89,0,11,3,0,0,1681446669,1686836933,0xdb56b9686f7d68628951682284c134e0cac7ee5f,self,self,0x984e29dcb4286c2d9cbaa2c238afdd8a191eefbc
0xedac3381eca8487a723d80a882430f1fed8caf0f,100,187,187,99,1,50,50,1673001198,1673276581,0xacd03d601e5bb1b275bb94076ff46ed9d753435a,self,self,0x939c11c596b851447e5220584d37f12854ba02ae
0xae6ef687e55ccd6ec96d2bf6e67fa51819193afd,41,398,398,41,0,0,3,1654811827,1687903949,self,0xfedfaf1a10335448b7fa0268f56d2b44dbd357de,self,0x984e29dcb4286c2d9cbaa2c238afdd8a191eefbc
0x2af3d664a0e2cb82f9a1bf2f32cef89908f67d1e,6,34,0,5,1,0,0,1686231383,1688474429,0xf89d7b9c864f589bbf53a82105107622b35eaa40,self,self,0x74ce067b0a0c195cd55f5458cbf217674e6c85ed
0x177d9d0cc4db65dac19a3647fa79687ebb976bbf,5,87,87,5,0,0,1,1681614376,1686664109,self,0xb555edf5dcf85f42ceef1f3630a52a108e55a654,self,0x984e29dcb4286c2d9cbaa2c238afdd8a191eefbc
0x4f24a6741579f7ba34d4cbbba30c5a13ce4cdf1e,16,102,102,14,2,1,1,1680321325,1687698089,0xacd03d601e5bb1b275bb94076ff46ed9d753435a,self,self,0x1846fb181a12644dec6af707b23b39d2d19c1879
0x57fe7d80060d68e1ea808647f4142f8c0650cf78,38,42,0,33,5,0,0,1685570131,1688582275,self,0xb49c4e680174e331cb0a7ff3ab58afc9738d5f8b,self,0x0a9f824c05a74f577a536a8a0c673183a872dff4
0xd64d37bdad19aa59d9c43ff4f756f19809bfd761,100,434,434,93,7,32,30,1651662932,1686079653,self,0xe592427a0aece92de3edee1f18e0157c05861564,self,0x7f5c764cbc14f9669b88837ca1490cca17c31607
0xea6093c40786191941bb78c2af863e0752f8db4a,100,222,222,88,12,14,14,1669991325,1686945789,self,0x2e42f214467f647fe687fd9a2bf3baddfa737465,self,0x9e9d792ded4335a0e0002d0b1292a2e638a16772
0xab693285aadbbec0380145f130ebbc236372a520,15,407,407,13,2,2,1,1654032382,1686680053,0xb2477dfab104e6ae648a17c7663ee9d19f689db1,self,self,0x4200000000000000000000000000000000000042
0xbb8cbf89aa9e27959f33de7cf8be3310ae47ade6,10,74,0,8,2,0,0,1682783808,1688550331,0xc8276b34b20230ea815228c4982f13aba1d4aa7f,self,self,0x2e42f214467f647fe687fd9a2bf3baddfa737465
